arm,questions,chunks,index_mib,initial_hit@5,initial_recall@5,hit@1,hit@3,hit@5,recall@5,mrr@5,ndcg@5,retrieve_p50_ms,rerank_p50_ms,total_p50_ms,total_p95_ms,parent_hit_rate@5,parent_recall@5,parent_mrr@5,parent_ndcg@5
c0_recursive,281,22766,64.9,0.9181,0.9128,0.8185,0.9395,0.9573,0.9537,0.8791,0.8963,98.7,480.3,578.7,670.4,,,,
c1_sentence,281,22014,63.38,0.9181,0.9093,0.8185,0.9288,0.968,0.9591,0.8796,0.8979,108.4,491.9,598.7,684.8,,,,
c2_paragraph,281,22018,63.23,0.9146,0.9075,0.8256,0.9288,0.9609,0.9555,0.8817,0.8989,110.5,492.2,601.6,677.9,,,,
c3_hierarchical,281,49218,76.58,0.8719,0.8701,0.7367,0.8968,0.9324,0.9241,0.8166,0.8417,128.5,227.4,354.0,450.4,0.9466,0.9431,0.8466,0.87
